21.3,24.3,3.1,38.3
10.7,15.6,3.2,37.7
10.2,15.2,2.2,39.3
11,15.5,0.8,36.3
24.7,28.8,16,38.5
10.8,15.6,0.5,37.7
10.4,15.3,0.5,39.3
11.2,15.7,1.2,36.3
25.3,29.2,6,38.5
10.9,15.8,0.4,37.7
10.5,15.4,0.7,39.3
11.1,16,0.6,39.3
11.4,15.9,1,36.3
10.7,15.5,0.4,39.3
25.3,29.2,4.6,38.5
11.1,15.9,0.6,37.7
11.3,16,0.5,39.3
10.6,15.5,0.5,39.3
10.5,15,0.9,36.3
25.5,29.1,20.3,38.5
10.5,15.3,0.4,37.7
8.4,13.8,8.6,35.2
10.7,15.2,0.6,36.3
10.8,15.7,0.7,39.3
10.6,15.4,0.6,37.7
4.5,9.4,11.3,57
10.9,15.3,0.7,36.3
9.6,15.9,5.8,34.4
10.8,15.6,0.4,37.7
39.4,41.7,21,39.2
11.1,15.5,0.8,36.3
10.9,15.6,0.6,39.3
11.3,16.1,0.7,39.3
10.9,15.9,0.4,39.3
12,16.6,7.6,37.8
4.8,9.6,5.8,52.9
11.4,16.2,3.4,39.3
17.7,21.4,12,37.8
9.6,16.1,1,34.4
14.6,18.8,1.2,37.8
39.7,42,25,39.2
14.7,18.8,0.6,37.8
11.2,16.1,0.8,39.3
